Tanggal,IR-64 I
30-May-19,10550
31-May-19,10550
01-Jun-19,10550
02-Jun-19,10550
03-Jun-19,10550
04-Jun-19,10550
05-Jun-19,10550
06-Jun-19,10550
07-Jun-19,10550
08-Jun-19,10550
09-Jun-19,10550
10-Jun-19,10550
11-Jun-19,10550
12-Jun-19,10575
13-Jun-19,10575
14-Jun-19,10575
15-Jun-19,10575
16-Jun-19,10575
17-Jun-19,10550
18-Jun-19,10525
19-Jun-19,10525
20-Jun-19,10525
21-Jun-19,10525
22-Jun-19,10525
23-Jun-19,10525
24-Jun-19,10525
25-Jun-19,10500
26-Jun-19,10500
27-Jun-19,10475
28-Jun-19,10475
29-Jun-19,10475
30-Jun-19,10475
01-Jul-19,10475
02-Jul-19,10475
03-Jul-19,10475
04-Jul-19,10475
05-Jul-19,10475
06-Jul-19,10475
07-Jul-19,10475
08-Jul-19,10475
09-Jul-19,10475
10-Jul-19,10475
11-Jul-19,10475
12-Jul-19,10475
13-Jul-19,10475
